Date,Type,Details,Amount (BDT),Main Category,Sub-Category,Payment Method
2025-09-03,expense,T n C,220,c n t,Group Bill,n/a
2025-09-02,expense,Riksha to loundry,70,transport,Rikhsaa,n/a
2025-09-02,expense,loundry bill,1500,family issential,Personal,n/a
2025-09-01,expense,Best buy shopping,4210,family and gift,Personal,n/a
2025-09-01,expense,Resturent to Office,20,transport,Rikhsaa,n/a
2025-09-01,expense,Riksha to resturent,20,transport,Rikhsaa,n/a
2025-09-01,expense,Riksha to best buy,30,transport,Rikhsaa,n/a
2025-09-01,expense,Riksha to meradia,40,transport,Rikhsaa,n/a
2025-09-01,expense,Genaral store,400,resturent,Others Resturent,n/a
2025-09-01,expense,Riksha to office,40,transport,Rikhsaa,n/a
2025-08-31,expense,Movie,800,pocket money,Movie,n/a
2025-08-31,expense,Bosundhora city transport,400,transport,Uber,n/a
2025-08-31,expense,Harddisk,6000,gadget,Personal Gadget,n/a
2025-08-31,expense,Shopping,1300,personal shopping,Personal Shopping,n/a
2025-08-31,expense,Cineplex - food,600,entertainment,Cineplex,n/a
2025-08-31,expense,Bosundhora city transport,400,transport,Uber,n/a
2025-08-31,expense,Food,150,resturent,Others Resturent,n/a
2025-08-26,expense,Abbu,1500,family and gift,Abbu,n/a
2025-08-20,expense,Family giveway,240,family and gift,Abbu,n/a
2025-08-20,expense,Abbuu Jomi,1200,family issential,Land Bill,n/a
2025-08-20,expense,t nc,300,c n t,Group Bill,n/a
2025-08-20,expense,Riksha,10,transport,Rikhsaa,n/a
2025-08-19,expense,Hijab,400,family and gift,Shopping,n/a
2025-08-19,expense,t nc,225,c n t,Group Bill,n/a
2025-08-19,expense,ammu sari,2500,family and gift,Shopping,n/a
2025-08-19,expense,"Kouta,box, cha etc",420,family issential,Shopping,n/a
2025-08-19,expense,home snacks,500,home snacks,Snacks Item,n/a
2025-08-19,expense,Bani,1250,family and gift,Shopping,n/a
2025-08-19,expense,Chiit,1300,family and gift,Shopping,n/a
2025-08-19,expense,juta,260,family and gift,Shopping,n/a
2025-08-19,expense,Bike oil,500,family and gift,Bike,n/a
2025-08-19,expense,Resturent bill vumi,1000,resturent,Bhumii,n/a
2025-08-18,expense,T n C,400,c n t,Group Bill,n/a
2025-08-18,expense,T n C,25,c n t,Cigarette,n/a
2025-08-18,expense,Medicine,70,medicine n dr,Medicine,n/a
2025-08-17,expense,Home snacks food,300,home snacks,Snacks Item,n/a
2025-08-17,expense,Sajib vai phone load,280,giveway,Sajib,n/a
2025-08-17,expense,Home snacks food,400,home snacks,Snacks Item,n/a
2025-08-17,expense,Tnc,200,c n t,Group Bill,n/a
2025-08-17,expense,Tanzima Phone load,100,phone bill,Phone bill Tanzima,n/a
2025-08-16,expense,T n C,400,c n t,Group Bill,n/a
2025-08-15,expense,T n C,500,c n t,Group Bill,n/a
2025-08-15,expense,Ammu,1000,giveway,Ammu,n/a
2025-08-15,expense,Home food,400,home snacks,Snacks Item,n/a
2025-08-14,expense,T n C,50,c n t,Cigarette,n/a
2025-08-14,expense,Kacchi Vai dinner,1000,resturent,Others Resturent,n/a
2025-08-14,expense,Dholaipar rikhsa,30,transport,Rikhsaa,n/a
2025-08-14,expense,CNG vara dholaipar,350,transport,CNG,n/a
2025-08-14,expense,Rikhsha to Meradia,40,transport,Rikhsaa,n/a
2025-08-14,expense,Rikhsha to afbab,40,transport,RikhsaaRikhsaa,n/a
2025-08-14,expense,Computer Gadget,500,gadget,Cable,n/a
2025-08-14,expense,Rikhsha to afbab,40,transport,Rikhsaa,n/a
2025-08-14,expense,Rikhsha to Meradia,40,transport,Rikhsaa,n/a
2025-08-14,expense,Bustand to basha,50,transport,Rikhsaa,n/a
2025-08-14,expense,Bustand to basha,50,transport,Rikhsaa,n/a
2025-08-14,expense,Dhaka Bagerhat bus,1300,transport,Bus,n/a
2025-08-14,expense,Kacchi Vai dinner,1000,resturent,Others Resturent,n/a
2025-08-14,expense,Dholaipar rikhsa,40,transport,Rikhsaa,n/a
2025-08-14,expense,T n C,50,c n t,Cigarette,n/a
2025-08-14,expense,Dhaka Bagerhat bus,1300,transport,Bus,n/a
2025-08-14,expense,CNG vara dholaipar,350,transport,CNG,n/a
2025-08-14,expense,Rikhsha to afbab,40,transport,Rikhsaa,n/a
2025-08-14,expense,Dholaipar rikhsa,30,transport,Rikhsaa,n/a
2025-08-14,expense,Rikhsha to afbab,40,transport,Rikhsaa,n/a
2025-08-14,expense,Computer Gadget,500,gadget,Cable,n/a
2025-08-14,expense,Dholaipar rikhsa,40,transport,Rikhsaa,n/a
2025-08-13,expense,water board,30,transport,Rikhsaa,n/a
2025-08-13,expense,Riksha,60,transport,Rikhsaa,n/a
2025-08-13,expense,Jawad,2000,jawad,Jawad,n/a
2025-08-13,expense,Sabbir,100,giveway,Sabbir,n/a
2025-08-13,expense,rikshs,100,transport,Rikhsaa,n/a
2025-08-13,expense,T n C,300,c n t,Group Bill,n/a
2025-08-13,expense,Lunch,650,resturent,Others Resturent,n/a
2025-08-12,expense,RESTURENT,1000,resturent,Others Resturent,n/a
2025-08-12,expense,T N C,80,c n t,Cigarette,n/a
2025-08-12,expense,Food lunch,400,resturent,Others Resturent,n/a
2025-08-12,expense,Transport,80,transport,Rikhsaa,n/a
2025-08-11,expense,Food lunch,550,resturent,Others Resturent,n/a
2025-08-11,expense,Bike Jomuna to aftab,200,transport,Uber,n/a
2025-08-11,expense,Watch Screen,250,gadget,Watch Gadget,n/a
2025-08-11,expense,Keyboard Mouse,6000,gadget,Laptop Gadget,n/a
2025-08-11,expense,Rikhsa to office,40,transport,Rikhsaa,n/a
2025-08-11,expense,Laptop screen protector,1000,gadget,Laptop Gadget,n/a
2025-08-11,expense,Bike rent Jomuna,250,transport,Rikhsaa,n/a
2025-08-11,expense,Food Night office,300,resturent,Others Resturent,n/a
2025-08-11,expense,Riksha,30,transport,Rikhsaa,n/a
2025-08-11,expense,T n C,400,c n t,Group Bill,n/a
2025-08-10,expense,T n C,210,c n t,Group Bill,n/a
2025-08-10,expense,Rikhsa tohome,40,transport,Rikhsaa,n/a
2025-08-10,expense,Peronsal buy,200,pocket money,Personal Cost,n/a
2025-08-10,expense,T n C,400,c n t,Group Bill,n/a
2025-08-10,expense,Rikhsa to office,50,transport,Rikhsaa,n/a
2025-08-10,expense,Rikhsa to office,50,transport,Rikhsaa,n/a
2025-08-09,expense,Snacks tah',50,family and gift,Snacks Item,n/a
2025-08-09,expense,C n T,650,c n t,Group Bill,n/a
2025-08-09,expense,Transport - Dhaka,1050,transport,Bus,n/a
2025-08-09,expense,Tanzima,1000,tanzu pocket money,Tanz Personal,n/a
2025-08-09,expense,Jawad,3060,jawad,Jawad,n/a
