Date,Type,Details,Amount (BDT),Tag,Payment Method
2025-08-14,expense,Kacchi Vai dinner,1000,Resturent,N/A
2025-08-14,expense,Dholaipar rikhsa,40,Transport,N/A
2025-08-14,expense,Computer Gadget,500,Gadget,N/A
2025-08-14,expense,Dholaipar rikhsa,30,Transport,N/A
2025-08-14,expense,CNG vara dholaipar,350,Transport,N/A
2025-08-14,expense,Rikhsha to Meradia,40,Transport,N/A
2025-08-14,expense,Rikhsha to afbab,40,Transport,N/A
2025-08-14,expense,Rikhsha to afbab,40,Transport,N/A
2025-08-14,expense,Bustand to basha,50,Transport,N/A
2025-08-14,expense,T n C,50,C n T,N/A
2025-08-14,expense,Dhaka Bagerhat bus,1300,Transport,N/A
2025-08-14,expense,Kacchi Vai dinner,1000,Resturent,N/A
2025-08-14,expense,Dholaipar rikhsa,40,Transport,N/A
2025-08-14,expense,Computer Gadget,500,Gadget,N/A
2025-08-14,expense,Dholaipar rikhsa,30,Transport,N/A
2025-08-14,expense,CNG vara dholaipar,350,Transport,N/A
2025-08-14,expense,Rikhsha to Meradia,40,Transport,N/A
2025-08-14,expense,Rikhsha to afbab,40,Transport,N/A
2025-08-14,expense,Rikhsha to afbab,40,Transport,N/A
2025-08-13,expense,T n C,300,C n T,N/A
2025-08-13,expense,rikshs,100,Transport,N/A
2025-08-13,expense,water board,30,Transport,N/A
2025-08-13,expense,Riksha,60,Transport,N/A
2025-08-13,expense,Lunch,650,Resturent,N/A
2025-08-13,expense,Sabbir,100,Giveway,N/A
2025-08-13,expense,Jawad,2000,Jawad,N/A
2025-08-12,expense,RESTURENT,1000,Resturent,N/A
2025-08-12,expense,Transport,80,Transport,N/A
2025-08-12,expense,T N C,80,C n T,N/A
2025-08-12,expense,Food lunch,400,Resturent,N/A
2025-08-11,expense,Rikhsa to office,40,Transport,N/A
2025-08-11,expense,Food Night office,300,Resturent,N/A
2025-08-11,expense,T n C,400,C n T,N/A
2025-08-11,expense,Bike Jomuna to aftab,200,Transport,N/A
2025-08-11,expense,Food lunch,550,Resturent,N/A
2025-08-11,expense,Keyboard Mouse,6000,Gadget,N/A
2025-08-11,expense,Watch Screen,250,Gadget,N/A
2025-08-11,expense,Laptop screen protector,1000,Gadget,N/A
2025-08-11,expense,Bike rent Jomuna,250,Transport,N/A
2025-08-11,expense,Riksha,30,Transport,N/A
2025-08-10,expense,Rikhsa tohome,40,Transport,N/A
2025-08-10,expense,T n C,400,C n T,N/A
2025-08-10,expense,T n C,210,C n T,N/A
2025-08-10,expense,Peronsal buy,200,Pocket Money,N/A
2025-08-10,expense,Rikhsa to office,50,Transport,N/A
2025-08-10,expense,Rikhsa to office,50,Transport,N/A
2025-08-09,expense,Tanzima,1000,Tanzu Pocket money,N/A
2025-08-09,expense,Snacks tah',50,Family and Gift,N/A
2025-08-09,expense,Jawad,3060,Jawad,N/A
2025-08-09,expense,Transport - Dhaka,1050,Transport,N/A
2025-08-09,expense,C n T,650,C n T,N/A
2025-08-08,expense,C n T,50,C n T,N/A
2025-08-08,expense,Tanhome,350,Family and Gift,N/A
2025-08-07,expense,C n T,200,C n T,N/A
2025-08-07,expense,Gher,500,Gher,N/A
2025-08-07,expense,Loan Anu da,1020,Loan,N/A
2025-08-06,expense,C n T,100,Pocket Money,N/A
2025-08-06,expense,SSR JM,15000,Others Essential,N/A
2025-08-06,expense,Laptop Charger Abbu,1300,Family and Gift,N/A
2025-08-05,expense,Medicine,90,Medicine N Dr,N/A
2025-08-05,expense,Home snacks food,300,Home Snacks,N/A
2025-08-05,expense,Sajib Vai loan,5000,Loan,N/A
2025-08-05,expense,C n T,180,Pocket Money,N/A
2025-08-05,expense,C n T,420,Pocket Money,N/A
2025-08-04,expense,Bike oil,300,Family and Gift,N/A
2025-08-04,expense,Home snacks food,300,Home Snacks,N/A
2025-08-04,expense,Vaia to sumon vai,500,Pocket Money,N/A
2025-08-04,expense,Group Bill,500,Pocket Money,N/A
2025-08-04,expense,Mobile recharge Sajib Vai,297,Loan,N/A
2025-08-04,expense,Mobile recharge personal,599,Phone Bill,N/A
2025-08-04,expense,Home snacks food,350,Home Snacks,N/A
2025-08-03,expense,Jawad to buy some food,2040,Jawad,N/A
2025-08-03,expense,Bus others (Takerhat),1500,Business Purpus,N/A
2025-08-03,expense,Abbu,10000,Family Bazer,N/A
2025-08-02,expense,Trip Gari vara,700,Trip,N/A
2025-08-02,expense,Trip,14340,Trip,N/A
2025-07-31,expense,Jawad,8000,Jawad,N/A
2025-07-31,expense,Others Expence,10000,Others Essential,N/A
2025-07-31,expense,Sof VEO 3,3060,Skill Dev,N/A
2025-07-31,expense,Sadik,2000,Loan,N/A
2025-07-31,expense,Mobile ammu,2420,Family and Gift,N/A
2025-07-31,expense,Bike,1500,Family and Gift,N/A
2025-07-31,expense,Abbu,5000,Family Bazer,N/A
2025-07-31,expense,Ultimate organic,9253,Pocket Money,N/A
2025-07-31,expense,DHaka extra,10,Business Purpus,N/A
2025-07-31,expense,Bazer family,5000,Family Bazer,N/A
2025-07-31,expense,Gher,15200,Gher,N/A
2025-07-31,expense,Saiful Vai gher,5000,Gher,N/A
